"Drug1"	"Drug2"
"DB00221"	"DB00521"
"DB00221"	"DB00612"
"DB00221"	"DB01193"
"DB00221"	"DB01203"
"DB00221"	"DB01210"
"DB00221"	"DB01214"
"DB00221"	"DB01291"
"DB00221"	"DB04861"
"DB00222"	"DB00222"
"DB00223"	"DB00180"
"DB00223"	"DB00223"
"DB00223"	"DB00240"
"DB00223"	"DB00253"
"DB00223"	"DB00324"
"DB00223"	"DB00394"
"DB00223"	"DB00443"
"DB00223"	"DB00547"
"DB00223"	"DB00596"
"DB00223"	"DB00620"
"DB00223"	"DB00663"
"DB00223"	"DB00769"
"DB00223"	"DB00838"
"DB00223"	"DB00846"
"DB00223"	"DB00860"
"DB00223"	"DB14596"
"DB00223"	"DB00896"
"DB00223"	"DB00959"
"DB00223"	"DB01013"
"DB00223"	"DB01130"
"DB00223"	"DB01222"
"DB00223"	"DB01260"
"DB00223"	"DB01380"
"DB00223"	"DB01410"
"DB00223"	"DB06781"
"DB00223"	"DB11921"
"DB00223"	"DB13158"
"DB00226"	"DB00226"
"DB00226"	"DB00234"
"DB00226"	"DB01170"
"DB00226"	"DB04840"
"DB00226"	"DB09185"
"DB00227"	"DB00227"
"DB00228"	"DB00228"
"DB00230"	"DB00230"
"DB00231"	"DB00231"
"DB00231"	"DB00897"
"DB00232"	"DB00232"
"DB00233"	"DB00233"
"DB00234"	"DB00226"
"DB00234"	"DB00234"
"DB00234"	"DB01170"
"DB00234"	"DB04840"
"DB00234"	"DB09185"
"DB00235"	"DB00235"
"DB00235"	"DB00261"
"DB00235"	"DB01166"
"DB00235"	"DB04880"
"DB00237"	"DB00237"
"DB00239"	"DB00239"
"DB00239"	"DB00503"
"DB00239"	"DB00531"
"DB00239"	"DB01127"
"DB00239"	"DB01181"
"DB00239"	"DB01220"
"DB00239"	"DB08864"
"DB00239"	"DB11087"
"DB00239"	"DB13179"
"DB00240"	"DB00180"
"DB00240"	"DB00223"
"DB00240"	"DB00240"
"DB00240"	"DB00253"
"DB00240"	"DB00324"
"DB00240"	"DB00394"
"DB00240"	"DB00443"
"DB00240"	"DB00547"
"DB00240"	"DB00596"
"DB00240"	"DB00620"
"DB00240"	"DB00663"
"DB00240"	"DB00769"
"DB00240"	"DB00838"
"DB00240"	"DB00846"
"DB00240"	"DB00860"
"DB00240"	"DB14596"
"DB00240"	"DB00896"
"DB00240"	"DB00959"
"DB00240"	"DB01013"
"DB00240"	"DB01130"
"DB00240"	"DB01222"
"DB00240"	"DB01260"
"DB00240"	"DB01380"
"DB00240"	"DB01410"
"DB00240"	"DB06781"
"DB00240"	"DB11921"
"DB00240"	"DB13158"
"DB00241"	"DB00241"
"DB00241"	"DB00306"
"DB00241"	"DB00794"
"DB00241"	"DB01351"
"DB00241"	"DB01353"
"DB00242"	"DB00242"
"DB00243"	"DB00243"
"DB00244"	"DB00244"
"DB00245"	"DB00245"
"DB00246"	"DB00246"
"DB00246"	"DB01238"
"DB00246"	"DB14185"
"DB00247"	"DB00247"
"DB00248"	"DB00248"
"DB00252"	"DB00252"
"DB00253"	"DB00180"
"DB00253"	"DB00223"
"DB00253"	"DB00240"
"DB00253"	"DB00253"
"DB00253"	"DB00324"
"DB00253"	"DB00394"
"DB00253"	"DB00443"
"DB00253"	"DB00547"
"DB00253"	"DB00596"
"DB00253"	"DB00620"
"DB00253"	"DB00663"
"DB00253"	"DB00769"
"DB00253"	"DB00838"
"DB00253"	"DB00846"
"DB00253"	"DB00860"
"DB00253"	"DB14596"
"DB00253"	"DB00896"
"DB00253"	"DB00959"
"DB00253"	"DB01013"
"DB00253"	"DB01130"
"DB00253"	"DB01222"
"DB00253"	"DB01260"
"DB00253"	"DB01380"
"DB00253"	"DB01410"
"DB00253"	"DB06781"
"DB00253"	"DB11921"
"DB00253"	"DB13158"
"DB00255"	"DB00255"
"DB00257"	"DB00257"
"DB00261"	"DB00235"
"DB00261"	"DB00261"
"DB00261"	"DB01166"
"DB00261"	"DB04880"
"DB00262"	"DB00262"
"DB00264"	"DB00195"
"DB00264"	"DB00221"
"DB00264"	"DB00264"
"DB00264"	"DB00335"
"DB00264"	"DB00373"
"DB00264"	"DB00521"
"DB00264"	"DB00612"
"DB00264"	"DB01193"
"DB00264"	"DB01203"
"DB00264"	"DB01210"
"DB00264"	"DB01214"
"DB00264"	"DB01291"
"DB00264"	"DB04861"
"DB00266"	"DB00266"
"DB00268"	"DB00268"
"DB00270"	"DB00270"
"DB00272"	"DB00272"
"DB00272"	"DB00501"
"DB00272"	"DB00585"
"DB00272"	"DB00927"
"DB00273"	"DB00273"
"DB00275"	"DB00177"
"DB00275"	"DB00275"
"DB00275"	"DB00678"
"DB00275"	"DB00796"
"DB00275"	"DB00876"
"DB00275"	"DB08822"
"DB00275"	"DB11842"
"DB00276"	"DB00276"
"DB00277"	"DB00277"
"DB00278"	"DB00001"
"DB00278"	"DB00006"
"DB00278"	"DB00278"
"DB00278"	"DB01123"
"DB00278"	"DB04898"
"DB00278"	"DB06695"
"DB00279"	"DB00279"
"DB00280"	"DB00280"
"DB00281"	"DB00281"
"DB00282"	"DB00282"
"DB00282"	"DB00710"
"DB00282"	"DB00884"
"DB00283"	"DB00283"
"DB00283"	"DB00341"
"DB00283"	"DB00405"
"DB00283"	"DB00427"
"DB00283"	"DB00557"
"DB00283"	"DB00719"
"DB00283"	"DB00737"
"DB00283"	"DB00748"
"DB00283"	"DB00792"
"DB00283"	"DB00902"
"DB00283"	"DB00950"
"DB00283"	"DB00967"
"DB00283"	"DB00972"
"DB00283"	"DB00985"
"DB00283"	"DB01084"
"DB00283"	"DB01237"
"DB00283"	"DB01246"
"DB00283"	"DB01619"
"DB00283"	"DB01620"
"DB00283"	"DB04837"
"DB00283"	"DB04890"
"DB00283"	"DB06282"
"DB00283"	"DB06691"
"DB00283"	"DB06766"
"DB00283"	"DB08799"
"DB00283"	"DB08936"
"DB00283"	"DB09488"
"DB00283"	"DB09555"
"DB00283"	"DB11591"
"DB00284"	"DB00284"
"DB00285"	"DB00285"
"DB00285"	"DB00476"
"DB00285"	"DB01105"
"DB00285"	"DB06700"
"DB00285"	"DB06701"
"DB00286"	"DB00286"
"DB00286"	"DB04574"
"DB00286"	"DB06249"
"DB00286"	"DB06401"
"DB00286"	"DB09535"
"DB00287"	"DB00287"
"DB00287"	"DB00654"
"DB00287"	"DB08819"
"DB00287"	"DB11660"
"DB00288"	"DB00288"
"DB00289"	"DB00289"
"DB00290"	"DB00290"
"DB00292"	"DB00292"
"DB00293"	"DB00293"
"DB00294"	"DB00294"
"DB00294"	"DB00304"
"DB00294"	"DB00603"
"DB00294"	"DB00823"
"DB00295"	"DB00295"
"DB00296"	"DB00296"
"DB00296"	"DB00297"
"DB00296"	"DB00645"
"DB00296"	"DB00807"
"DB00296"	"DB00892"
"DB00296"	"DB00961"
"DB00296"	"DB01002"
"DB00296"	"DB01086"
"DB00297"	"DB00296"
"DB00297"	"DB00297"
"DB00297"	"DB00645"
"DB00297"	"DB00807"
"DB00297"	"DB00892"
"DB00297"	"DB00961"
"DB00297"	"DB01002"
"DB00297"	"DB01086"
"DB00298"	"DB00211"
"DB00298"	"DB00298"
"DB00298"	"DB00388"
"DB00298"	"DB00706"
"DB00298"	"DB00723"
"DB00298"	"DB06207"
"DB00302"	"DB00302"
"DB00304"	"DB00294"
"DB00304"	"DB00304"
"DB00304"	"DB00603"
"DB00304"	"DB00823"
"DB00306"	"DB00241"
"DB00306"	"DB00306"
"DB00306"	"DB00794"
"DB00306"	"DB01351"
"DB00306"	"DB01353"
"DB00307"	"DB00307"
"DB00308"	"DB00308"
"DB00309"	"DB00309"
"DB00310"	"DB00310"
"DB00312"	"DB00312"
"DB00313"	"DB00313"
"DB00315"	"DB00315"
"DB00315"	"DB00669"
"DB00315"	"DB00952"
"DB00316"	"DB00316"
"DB00317"	"DB00317"
"DB00317"	"DB01269"
"DB00317"	"DB09330"
"DB00317"	"DB09559"
"DB00317"	"DB11828"
"DB00317"	"DB11963"
"DB00318"	"DB00318"
"DB00318"	"DB00327"
"DB00318"	"DB00497"
"DB00318"	"DB00611"
"DB00318"	"DB00708"
"DB00318"	"DB00844"
"DB00318"	"DB00854"
"DB00318"	"DB00899"
"DB00318"	"DB01535"
"DB00318"	"DB06230"
"DB00318"	"DB06274"
"DB00318"	"DB09209"
"DB00318"	"DB09272"
"DB00318"	"DB11130"
"DB00318"	"DB11691"
"DB00320"	"DB00320"
"DB00321"	"DB00321"
"DB00322"	"DB00322"
"DB00322"	"DB00432"
"DB00322"	"DB00544"
"DB00322"	"DB01101"
"DB00322"	"DB09256"
"DB00323"	"DB00323"
"DB00323"	"DB00494"
"DB00323"	"DB11632"
"DB00324"	"DB00180"
"DB00324"	"DB00223"
"DB00324"	"DB00240"
"DB00324"	"DB00253"
"DB00324"	"DB00324"
"DB00324"	"DB00394"
"DB00324"	"DB00443"
"DB00324"	"DB00547"
"DB00324"	"DB00596"
"DB00324"	"DB00620"
"DB00324"	"DB00663"
"DB00324"	"DB00769"
"DB00324"	"DB00838"
"DB00324"	"DB00846"
"DB00324"	"DB00860"
"DB00324"	"DB14596"
"DB00324"	"DB00896"
"DB00324"	"DB00959"
"DB00324"	"DB01013"
"DB00324"	"DB01130"
"DB00324"	"DB01222"
"DB00324"	"DB01260"
"DB00324"	"DB01380"
"DB00324"	"DB01410"
"DB00324"	"DB06781"
"DB00324"	"DB11921"
"DB00324"	"DB13158"
"DB00325"	"DB00325"
"DB00325"	"DB00727"
"DB00325"	"DB00883"
"DB00325"	"DB01612"
"DB00327"	"DB00318"
"DB00327"	"DB00327"
"DB00327"	"DB00497"
"DB00327"	"DB00611"
"DB00327"	"DB00708"
"DB00327"	"DB00844"
"DB00327"	"DB00854"
"DB00327"	"DB00899"
"DB00327"	"DB01535"
"DB00327"	"DB06230"
"DB00327"	"DB06274"
"DB00327"	"DB09209"
"DB00327"	"DB09272"
"DB00327"	"DB11130"
"DB00327"	"DB11691"
"DB00328"	"DB00328"
"DB00331"	"DB00331"
"DB00332"	"DB00332"
"DB00332"	"DB00383"
"DB00332"	"DB00462"
"DB00332"	"DB00517"
"DB00332"	"DB00986"
"DB00332"	"DB01062"
"DB00332"	"DB01231"
"DB00333"	"DB00333"
"DB00334"	"DB00334"
"DB00335"	"DB00195"
"DB00335"	"DB00221"
"DB00335"	"DB00264"
"DB00335"	"DB00335"
"DB00335"	"DB00373"
"DB00335"	"DB00521"
"DB00335"	"DB00612"
"DB00335"	"DB01193"
"DB00335"	"DB01203"
"DB00335"	"DB01210"
"DB00335"	"DB01214"
"DB00335"	"DB01291"
"DB00335"	"DB04861"
"DB00337"	"DB00337"
"DB00338"	"DB00338"
"DB00340"	"DB00340"
"DB00340"	"DB00376"
"DB00340"	"DB00496"
"DB00340"	"DB00725"
"DB00340"	"DB00785"
"DB00340"	"DB01036"
"DB00340"	"DB01409"
"DB00340"	"DB01591"
"DB00340"	"DB06702"
"DB00340"	"DB08897"
"DB00340"	"DB09076"
"DB00340"	"DB11181"
"DB00341"	"DB00283"
"DB00341"	"DB00341"
"DB00341"	"DB00405"
"DB00341"	"DB00427"
"DB00341"	"DB00557"
"DB00341"	"DB00719"
"DB00341"	"DB00737"
"DB00341"	"DB00748"
"DB00341"	"DB00792"
"DB00341"	"DB00902"
"DB00341"	"DB00950"
"DB00341"	"DB00967"
"DB00341"	"DB00972"
"DB00341"	"DB00985"
"DB00341"	"DB01084"
"DB00341"	"DB01237"
"DB00341"	"DB01246"
"DB00341"	"DB01619"
"DB00341"	"DB01620"
"DB00341"	"DB04837"
"DB00341"	"DB04890"
"DB00341"	"DB06282"
"DB00341"	"DB06691"
"DB00341"	"DB06766"
"DB00341"	"DB08799"
"DB00341"	"DB08936"
"DB00341"	"DB09488"
"DB00341"	"DB09555"
"DB00341"	"DB11591"
"DB00342"	"DB00342"
"DB00343"	"DB00343"
"DB00344"	"DB00344"
"DB00344"	"DB08918"
"DB00346"	"DB00346"
"DB00347"	"DB00347"
"DB00347"	"DB00593"
"DB00347"	"DB05246"
"DB00348"	"DB00348"
"DB00349"	"DB00189"
"DB00349"	"DB00349"
"DB00349"	"DB00474"
"DB00349"	"DB00475"
"DB00349"	"DB01107"
"DB00349"	"DB01437"
"DB00349"	"DB11859"
"DB00350"	"DB00350"
"DB00351"	"DB00351"
"DB00351"	"DB00764"
"DB00351"	"DB08906"
"DB00351"	"DB14512"
"DB00353"	"DB00353"
"DB00354"	"DB00354"
"DB00354"	"DB00366"
"DB00356"	"DB00356"
"DB00357"	"DB00357"
